Leben life
Liebe love
Stärke strength
Mond moon
Sonne sun
Stern star
Baum tree
Wald forest 
Küche kitchen
Essen food 
Himmel sky
Dunkelheit darkness 
Winter winter
Sommer summer 
Herbst fall 
Frühling spring
Papier paper
Hund dog
Katze cat
Pferd horse
Schokolade chocolate 
Fleisch meat 
Käse cheese 
Decke blanket 
Buch book 
Glas glass
Fenster window
Blume flower 
Tiger tiger
Löwe lion 
(Land-)karte map 
Tisch table
Stuhl chair 
Auto car 
Futter feed
Straße street
Lastkraftwagen(Lkw) truck 
Sattelzug semi-truck
Gabel fork
Tomate tomato
Gurke cucumber 
Teller plate
Messer knife 
Knoblauch garlic
Zwiebel onion 
Lampe lamp
Waschbecken sink 
Taschenlampe flashlight
Wohnung apartment 
Haus house
Maus mouse 
Boden floor
Schublade drawer
Bild picture
Wand wall 
Heizung heater 
Wasser water 
Pfote paw
Knochen bone
Kissen pillow
Holz wood
Luft air
Hitze heat 
Kälte cold
Flasche bottle 
Wäsche laundry 
Zimmer room 
Ja yes 
Nein no 
Bein leg 
Fernbedienung remote
Wespe wasp 
Hummel bumblebee 
Pflanze plant
Teppich carpet 
Foto photo
Leder leather 
Sitz seat
Gewitter thunderstorm
Regen rain
Regenbogen rainbow
Bürgersteig sidewalk
Zug train 
Straßenbahn(Tram) tram
Taxi taxi 
Hose pants
T-Shirt t-shirt
Socke sock
Handtuch towel 
Topf pot
Pfanne pan 
Ofen oven
Regierung government
Fahrer driver
Beifahrer passenger 
Freund(-in) friend
Bekannte(-r) acquaintance 
Familie family
Verwandte(-r) relative
Blut blood 
Mutter mother 
Vater father 
Schwester sister 
Bruder brother
Klassenkamerad(-in) classmate
Dusche shower
Badewanne bathtub
Natur nature
Schuh shoe
Wasserhahn tap
Spiegel mirror 
Ohr ear 
Großmutter(Oma) grandmother
Großvater(Opa) grandfather
Rahmen frame
Butter butter
Milch milk
Lehrer(-in) teacher
Schule school
Schulbuch textbook
Bleistift pencil
#Buntstift-colored pencil
Deutsch german(language)
Englisch english(language)
Lautsprecher speaker(sound)
Sprecher speaker(talking)
Gras gras
Kaktus cactus 
Film movie
Kino cinema
Schauspieler actor
U-Bahn subway
Fahrrad bicycle
Berg mountain
Polizei police
Stein stone
Becher cup 
Ofen oven
Märchen tale
Lüge lie
Dokument document
Spielzeug toy
Brot bread
Apfel apple
Birne pea
Pfau peacock
Elefant elephant
Papiertuch(Zewa) papertowel
Arbeit work
Feiertag holiday
Ferien vacation
Impfung vaccine
Zaun fence
Tier animal
Fuß foot
Finger finger 
Fingernägel fingernails
Haare hair
Haut skin
Kartoffel potato
Folie foil
Zeit time
Kerze candle
#
Aal eel
Abänderung alteration
Abdichtung insulation
Abend evening
Abendbrot/Abendessen dinner
#Abendschule-night school
Abenteuer adventure
Aberglaube superstition
Abfahrt departure
Abfall/Müll trash
Anfrage inquiry 
Abführmittel laxative
Einsamkeit loneliness
Abgestumpftheit apathy
Abgrund abyss
Abhang slope
Abhängigkeit dependence 
Abkürzung(Wort) abbreviation
Abkürzung(Weg) shortcut
Ablenkung distraction
Akte record 
Aktivität activity
Akkusativ accusative
Aktivierung activation
Auswanderung emigration
Einwanderung immigration 
Bahn train
Banane banana
Badezimmer bathroom
Bäckerei bakery
Bart beard
Bauch stomach
Bargeld cash 
Bankautomat ATM
Bauer farmer
Bauernhof farm
Baumwolle cotton
Bayern Bavaria
Bearbeitung processing
Bedingung condition/term
Beendigung termination
Befehl order/command
Bluse blouse
Brühe broth
Bunker bunker
Deich dyke
Defizit deficit
Deckel(Box) lid
(Flaschen-)Deckel cap
Literatur literature
Wörterbuch dictionary 
Gefangene(-r) prisoner
Gefühl feeling
Geisel hostage
Pappe cardboard
Paprika paprika
Ortschaft town/place/village
Osten east 
Westen west
Süden south
Norden north
Schwan swan
#Schutzengel-guardian angel
Engel angel
Lagerfeuer campfire
Lamm lamb
Lama llama 
Landebahn runway 
Papst pope
Palast palace 
Versammlung gathering
Wetter weather
Wirklichkeit reality
Rabe raven
Antwort reply/answer
Arzt/Ärztin doctor
Astronaut(-in) astronaut
Kellner waiter
Kellnerin waitress
#
#Countries
#
Land country 
Deutschland Germany
Polen Poland
Dänemark Denmark
Norwegen Norway
Schweden Sweden 
Finland Finland
Niederlande Netherlands
Luxemburg Luxembourg
Belgien Belgium
Frankreich France
Schweiz Switzerland 
Österreich Austria
Liechtenstein Liechtenstein
Ungarn Hungary
Spanien Spain 
Portugal Portugal 
Italien Italy 
Island Iceland
Grönland Greenland
Griechenland Greece
Belarus Belarus(new)
Weißrussland Belarus(old)
Slowakei Slovakia 
Slowenien Slovenia 
Rumänien Romania
Litauen Lithuania 
Lettland Latvia 
Estland Estonia 
Russland Russia
Tschechien Czechia
Serbien Serbia 
Kanada Canada
Brasilien Brasilia 
#Vereinigte Staaten von Amerika(USA)-United State of America(USA)
Iran Iran
#Vereinigte arabische Emirate(VAE)-United Arab Emirates(UAE)
#Bosnien -Herzegowina Bosnia-Herzegovina
Kosovo Kosovo
Ukraine Ukraine
Moldau Moldova
Kroatien Croatia 
Montenegro Montenegro
Japan Japan
China China
Indonesien Indonesia
Ägypten Egypt
Albanien Albania
Andorra Andorra
Bulgarien Bulgaria
Zypern Cyprus
Irland Ireland
Mazedonien Macedonia
Malta Malta
Türkei Turkey
#
Laos Laos
Libanon Lebanon
Afghanistan Afghanistan
Armenien Armenia
Aserbaidschan Azerbaijan
Bahrain Bahrain
Bangladesch Bangladesh
Brunei Brunei
Kambodscha Cambodia
Georgien Georgia
Irak Iraq
Israel Israel
Jordanien Jordan
Kasachstan Kazakhstan
Kuwait Kuwait
Kirgisistan Kyrgyztan
Malaysia Malaysia
Malediven Maldives
Mongolei Mongolia
Myanmar Myanmar
Nepal Nepal
#Nordkorea-North Korea
Oman Oman
Pakistan Pakistan 
Philippinen Philippines
Katar Qatar
Singapur Singapore
#Südkorea-South Korea
#Sri Lanka-Sri Lanka
Syrien Syria
Thailand Thailand
Vietnam Vietnam
Jemen Jemen
#
#colors
#
schwarz black
weiß white
rot red
blau blue
gelb yellow
grün green
lila purple
orange orange
grau grey
braun brown
