Schnee Снег
Wärme Тепло
Nacht Ночь
Auto Авто
Sonne Солнце
Stern Звезда
Mond Луна
Mütze Шапка
Mensch Человек
Zelt Шалаш
Apfel Яблоко
Brot хлеб
Frau женщина
Ehefrau жена
Mann Мужчина
Ehemann Муж
Name Имя
Katze Кошка
Kater Кот
Hund Собака
Schwester Сестра
Bruder Брат
Tochter Дочь
Sohn Сын
Familie Семья
Haus Дом
Straße Улица
Wer Кто
Wo Где
Woher Откуда
Was Что
gut хорошо
schlecht плохо
Danke Спасибо
Bitte Пожалуйста
Entschuldigung Извините
Bus Автобус
U-Bahn Метро
Fahrrad Велосипед
Hallo Привет
Ich Я
Rucksack Рюкзак
Jetzt Cейчас
Heute Cегодня
Milch Молоко
gestern вчера
Tag День
Jahr Год
Montag Понедельник
Dienstag Вторник
Mittwoch Среда
Donnerstag Четверг
Freitag Пятница
Samstag Суббота
Bank Банк
Restaurant Ресторан
Apotheke Аптека
Bar Бар
Kino Кинотеатр
Tasche Сумка
Kinder Дети
Gruppe Группа
Buch Книга
Welt Мир
Freund Друг
Freundin Подруга
Freunde Друзья
Junge Мальчик
Mädchen Девочка
Arzt Врач
Tisch Стол
Stuhl Стул
Du Ты
Ihr/Sie Вы
Hafen Порт
Tourismus Туризм
Tour Тур
Oper Опера
Kakao Какао
Torte Торт
Nein Нет
Ja Да
Wie Как
Tschüss Пока
Nachname Фамилия
#Guten Morgen Доброе утро
Morgen Утро
#Guten Abend Добрый вечер
Abend Вечер
#Guten Tag Добрый День
Euro Евро
Zoo Зоопарк
Russland Россия
Frankreich Франция
Deutschland Германия
Schweiz Швейцария
Österreich Австрия
Schweden Швеция
Polen Польша
England Англия
Tschechien Чехия
Ukraine Украина
Dänemark Дания
Luxemburg Люксембург
Europa Европа
Wir Мы
Er Он
Es Оно
Direktor Директор
Manager Менеджер
Stadt Город
Beruf Профессия
Tourist Турист
Exkursion Экскурсия
Russe Русский
Russin Русская
Deutscher Немец
Deutsche Немка
Juwelier Ювелир
Schnitzel Шницель
Datscha Дача
Café Кафе
Überraschung Сюрприз
Universität Университет
Kaffeehaus Кофейня
Institut Институт
Theater Театр
Adresse Адрес
Platz Площадь
Chaussee Шоссе
Telefon Телефон
Alles Всё
Zentrum Центр
Wohnung Квартира
Professor Профессор
Mathematik Математика
Plus Плюс
Minus Минус
Biologe Биолог
Kosmonaut Космонавт
Student Студент
Studentin Студентка
Ordnung Порядок
Journalist Журналист
Dozent Доцент
Mutter Мать
Vater Отец
Ingenieur Инженер
Chirurg Хирург
Mama Мама
Papa Папа
Großmutter Бабушка
Großvater Дедушка
Fotografie Фотография
Buchhalter Бухгалтер
Kurs Курс
Brief Письмо
Butterbrot Бутерброд
Saft Сок
Kaffee Кофе
Ananas Ананас
Wasser Вода
Wieviel Сколько
Nummer Номер
Pizza Пицца
Sprache Язык
Wort Слово
Radio Радио
Zeitschrift Журнал
Konzert Концерт
Text Текст
Dialog Диалог
Arbeit Работа
Bulgarien Болгария
Sport Спорт
Park Парк
Fernseher Телевизор
Fußball Футбол
Gitarre Гитара
Film Фильм
Stadion Стадион
Zirkus Цирк
Meer Море
Rentner Пенсионер
Fabrik Фабрика
Bibliothek Библиотека
Internet Интернет
Computer Компьютер
Programmierer Программист
Lampe Лампа
Buchstaben Буквы
Konferenz Конференция
Vatersname Отчество
Land Страна
Hotel Гостиница
Nationalität Национальность
Zahl Число
Enkelin Внучка
Enkel Внук
Tasse Чашка
Reportage Репортаж
Menschen Люди
Minute Минута
Uhr Часы
Sonntag Воскресенье
Schule Школа
Krankenhaus Больница
Krankenschwester Медсестра
Fenster Окно
Pilot Пилот
Zeitung Газета
Kellner Официант
